"","UbigeoProv","PROVINCIA","conteo"
"1","010100","CHACHAPOYAS",22
"2","010200","BAGUA",57
"3","010300","BONGARA",43
"4","010400","CONDORCANQUI",10
"5","010500","LUYA",30
"6","010600","RODRIGUEZ DE MENDOZA",11
"7","010700","UTCUBAMBA",60
"8","020100","HUARAZ",35
"9","020200","AIJA",6
"10","020300","ANTONIO RAYMONDI",12
"11","020400","ASUNCION",9
"12","020500","BOLOGNESI",29
"13","020600","CARHUAZ",27
"14","020700","CARLOS F. FITZCARRALD",47
"15","020800","CASMA",26
"16","020900","CORONGO",41
"17","021000","HUARI",28
"18","021100","HUARMEY",27
"19","021200","HUAYLAS",26
"20","021300","MARISCAL LUZURIAGA",9
"21","021400","OCROS",3
"22","021500","PALLASCA",53
"23","021600","POMABAMBA",19
"24","021700","RECUAY",16
"25","021800","SANTA",84
"26","021900","SIHUAS",21
"27","022000","YUNGAY",41
"28","030100","ABANCAY",170
"29","030200","ANDAHUAYLAS",179
"30","030300","ANTABAMBA",17
"31","030400","AYMARAES",44
"32","030500","COTABAMBAS",55
"33","030600","CHINCHEROS",89
"34","030700","GRAU",21
"35","040100","AREQUIPA",173
"36","040200","CAMANA",22
"37","040300","CARAVELI",24
"38","040400","CASTILLA",26
"39","040500","CAYLLOMA",37
"40","040600","CONDESUYOS",27
"41","040700","ISLAY",20
"42","040800","LA UNION",9
"43","050100","HUAMANGA",106
"44","050500","LA MAR",45
"45","050600","LUCANAS",95
"46","050700","PARINACOCHAS",79
"47","050800","PAUCAR DEL SARA SARA",15
"48","050900","SUCRE",24
"49","051000","VICTOR FAJARDO",13
"50","051100","VILCAS HUAMAN",17
"51","060100","CAJAMARCA",156
"52","060200","CAJABAMBA",29
"53","060300","CELENDIN",61
"54","060400","CHOTA",142
"55","060500","CONTUMAZA",45
"56","060600","CUTERVO",97
"57","060700","HUALGAYOC",87
"58","060800","JAEN",43
"59","060900","SAN IGNACIO",51
"60","061000","SAN MARCOS",27
"61","061100","SAN MIGUEL",69
"62","061200","SAN PABLO",33
"63","061300","SANTA CRUZ",44
"64","070100","CALLAO",344
"65","080100","CUSCO",36
"66","080200","ACOMAYO",2
"67","080300","ANTA",25
"68","080500","CANAS",21
"69","080600","CANCHIS",80
"70","080700","CHUMBIVILCAS",32
"71","080800","ESPINAR",36
"72","080900","LA CONVENCION",96
"73","081000","PARURO",24
"74","081200","QUISPICANCHI",54
"75","081300","URUBAMBA",3
"76","090100","HUANCAVELICA",276
"77","090200","ACOBAMBA",63
"78","090300","ANGARAES",132
"79","090400","CASTROVIRREYNA",66
"80","090500","CHURCAMPA",2
"81","090700","TAYACAJA",39
"82","100100","HUANUCO",35
"83","100200","AMBO",18
"84","100300","DOS DE MAYO",15
"85","100400","HUACAYBAMBA",11
"86","100500","HUAMALIES",36
"87","100600","LEONCIO PRADO",33
"88","100700","MARA<U+00D1>ON",9
"89","100800","PACHITEA",2
"90","100900","PUERTO INCA",6
"91","101000","LAURICOCHA",14
"92","101100","YAROWILCA",18
"93","110100","ICA",46
"94","110200","CHINCHA",45
"95","110300","NAZCA",8
"96","110400","PALPA",15
"97","110500","PISCO",30
"98","120100","HUANCAYO",65
"99","120200","CONCEPCION",1
"100","120300","CHANCHAMAYO",19
"101","120400","JAUJA",3
"102","120500","JUNIN",15
"103","120600","SATIPO",3
"104","120700","TARMA",20
"105","120800","YAULI",5
"106","120900","CHUPACA",14
"107","130200","ASCOPE",4
"108","130300","BOLIVAR",18
"109","130400","CHEPEN",27
"110","130500","JULCAN",26
"111","130600","OTUZCO",57
"112","130700","PACASMAYO",5
"113","130800","PATAZ",45
"114","130900","SANCHEZ CARRION",78
"115","131000","SANTIAGO DE CHUCO",47
"116","131100","GRAN CHIMU",1
"117","131200","VIRU",15
"118","140100","CHICLAYO",197
"119","140200","FERRE<U+00D1>AFE",71
"120","140300","LAMBAYEQUE",140
"121","150200","BARRANCA",70
"122","150300","CAJATAMBO",19
"123","150400","CANTA",11
"124","150500","CA<U+00D1>ETE",81
"125","150600","HUARAL",57
"126","150700","HUAROCHIRI",79
"127","150800","HUAURA",79
"128","150900","OYON",26
"129","151000","YAUYOS",60
"130","160100","MAYNAS",90
"131","160200","ALTO AMAZONAS",5
"132","160300","LORETO",30
"133","160400","MARISCAL RAMON CASTILLA",25
"134","160500","REQUENA",16
"135","160600","UCAYALI",10
"136","170100","TAMBOPATA",4
"137","170200","MANU",26
"138","170300","TAHUAMANU",1
"139","180100","MARISCAL NIETO",34
"140","180200","GENERAL SANCHEZ CERRO",35
"141","180300","ILO",27
"142","190100","PASCO",66
"143","190200","DANIEL ALCIDES CARRION",66
"144","190300","OXAPAMPA",27
"145","200200","AYABACA",20
"146","200300","HUANCABAMBA",22
"147","200400","MORROPON",209
"148","200500","PAITA",58
"149","200600","SULLANA",32
"150","200700","TALARA",47
"151","200800","SECHURA",48
"152","210100","PUNO",49
"153","210200","AZANGARO",1
"154","210300","CARABAYA",6
"155","210400","CHUCUITO",29
"156","210500","EL COLLAO",36
"157","210600","HUANCANE",16
"158","210700","LAMPA",2
"159","210800","MELGAR",26
"160","210900","MOHO",3
"161","211000","SAN ANTONIO DE PUTINA",5
"162","211200","SANDIA",17
"163","211300","YUNGUYO",26
"164","220100","MOYOBAMBA",4
"165","220200","BELLAVISTA",18
"166","220300","EL DORADO",2
"167","220500","LAMAS",3
"168","220600","MARISCAL CACERES",15
"169","220700","PICOTA",3
"170","220800","RIOJA",31
"171","220900","SAN MARTIN",12
"172","221000","TOCACHE",18
"173","230100","RIOJA",1
"174","230100","TACNA",117
"175","230200","CANDARAVE",17
"176","230300","JORGE BASADRE",25
"177","230400","TARATA",27
"178","240100","TUMBES",159
"179","240200","CONTRALMIRANTE VILLAR",47
"180","240300","ZARUMILLA",86
"181","250100","CORONEL PORTILLO",16
"182","250200","ATALAYA",7
"183","250300","PADRE ABAD",19
"184","250400","PURUS",4
"185",NA,"CALLAO",6
